id,language,title,url,numberOfLessons,notes,rank,monthPublished,extras,systemWhenCreated,systemWhoCreated
1,french,Découvrir Docker,https://www.linkedin.com/learning/decouvrir-docker/creer-une-image-a-partir-d-un-conteneur,30,"###sec0, intro, 1
0.1;skimmed

##sec1, discover, 3
1.1; 2020-04-15 11:22:32; https://www.linkedin.com/learning/decouvrir-docker/comparer-les-solutions-de-virtualisation ; KVM (linux), solaris zones vs docker, LXC - Linux Containers

###sec2, install, 4
2.1;skimmed
2.2;skimmed
2.3; 2020-04-18 22:00:18 ; https://www.linkedin.com/learning/decouvrir-docker/installer-docker-sur-windows ; docker run hello-world, docker ps -a
2.4;skimmed

###sec3, use, 3
3.1; 2020-04-18 22:56:54 ; https://www.linkedin.com/learning/decouvrir-docker/exploiter-les-images-docker ; `docker images`, `docker search nginx`, `docker search --no-trunc nginx`, `docker pull nginx`, `docker pull nginx:1.13`, `docker rmi nginx:1.13`, `docker rmi -f hello-world` (force)
3.2; 2020-04-19 16:32:21 ; https://www.linkedin.com/learning/decouvrir-docker/utiliser-le-hub ; `https://hub.docker.com`
3.3; 2020-04-19 16:41:14 ; https://www.linkedin.com/learning/decouvrir-docker/apprehender-la-commande-docker ; `docker container --help`, `docker container ps`, `docker ps -a`, `docker container run --help`

###sec4, containers, 6
4.1; 2020-04-25 09:34:50 ;  https://www.linkedin.com/learning/decouvrir-docker/decouvrir-le-cycle-de-vie-d-un-conteneur ; explains containers
4.2; 2020-04-25 14:34:28; https://www.linkedin.com/learning/decouvrir-docker/executer-un-conteneur; `run ubuntu`, `docker ps`, `docker ps -a`, `docker run -ti ubuntu` (ti for termainal interactive), `ps`, `hostname` (id of the container), `exit`
4.3; 2020-04-25 15:47:31 ; https://www.linkedin.com/learning/decouvrir-docker/executer-en-mode-attache-et-detache ; `docker run --name=cont01 --hostname=host01 -it ubuntu`
4.4-watchedOnly ;2020-05-16 23:36:28;https://www.linkedin.com/learning/decouvrir-docker/connaitre-les-autres-modes-d-execution; nginx, curl to a port
4.5; 2020-09-09 14:35:23; https://www.linkedin.com/learning/decouvrir-docker/inspecter-un-conteneur; `docker run -d -P --name=web03 --hostname=cont03 nginx`; `docker inspect web03` (JSON format) IP-address, etc.; `docker inspect --format='{{ .NetworkSettings.IPAddress }}' web03`
4.6;2020-09-22 12:39:51; https://www.linkedin.com/learning/decouvrir-docker/lister-et-supprimer-des-conteneurs ; `docker ps -a` to list all containers; `docker ps -l` for latest; `docker ps --last 3` the last three; `docker ps -q` for ID columns; `docker ps -a --filter name=web` = all containers with ""web"" in their name, e.g. ""web01""; delete all containers that have stopped: `docker rm $(docker ps -aq --filter status=exited)` (like SQL)

##sec5, images, 6
5.1;2020-09-22 12:50:27; https://www.linkedin.com/learning/decouvrir-docker/comprendre-les-couches-d-une-image ; an image is a collection of files; base layer; read-write layer, Debian layer, Apache layer; COW = Copy On Write; command of type TAR or CPU; name e.g. registry.masociete.com:4000/monappli

##sec6, volumes, 5

##sec7, network, 3

###VOCAB
un port aléatoire
a random port",4.84,2018-03,$info=Docker in French;$kind=/int001/,2020-04-15 16:32:14,systemUnknown
2,french,Découvrir le cloud computing : Le cloud et DevOps,https://www.linkedin.com/learning/decouvrir-le-cloud-computing-le-cloud-et-devops/bienvenue-dans-decouvrir-le-cloud-computing-le-cloud-et-devops,23,,4.5,2018-09,,2020-04-15 16:33:17,systemUnknown
3,french,L'essentiel de React.js,https://www.linkedin.com/learning/l-essentiel-de-react-js-2/bienvenue-dans-l-essentiel-de-react-js,58,"###infos
// project: reactinteractive44


0.1; skipped

1.1; 2020-04-06 14:07:44 ; https://www.linkedin.com/learning/l-essentiel-de-react-js-2/aborder-les-prerequis 
1.2; 2020-04-06 14:07:44 ; https://www.linkedin.com/learning/l-essentiel-de-react-js-2/utiliser-les-fichiers-d-exercice 
1.3; 2020-04-06 14:07:44 ; https://www.linkedin.com/learning/l-essentiel-de-react-js-2/decouvrir-react 
1.4; 2020-04-06 14:07:44 ; https://www.linkedin.com/learning/l-essentiel-de-react-js-2/installer-les-outils 
1.5; 2020-04-06 14:07:44 ; https://www.linkedin.com/learning/l-essentiel-de-react-js-2/utiliser-es6 

2.1; 2020-04-06 14:07:44 ; https://www.linkedin.com/learning/l-essentiel-de-react-js-2/decouvrir-la-syntaxe-react 
2.2; 2020-04-07 14:07:44 ; https://www.linkedin.com/learning/l-essentiel-de-react-js-2/comprendre-jsx 
2.3; 2020-04-07 14:07:44 ; https://www.linkedin.com/learning/l-essentiel-de-react-js-2/creer-un-composant-react 
2.4; 2020-04-07 14:07:44 ; https://www.linkedin.com/learning/l-essentiel-de-react-js-2/creer-un-composant-fonctionnel 
2.5; 2020-04-07 14:07:44 ; https://www.linkedin.com/learning/l-essentiel-de-react-js-2/utiliser-le-css-avec-react 
2.6; 2020-04-07 14:07:44 ; https://www.linkedin.com/learning/l-essentiel-de-react-js-2/utiliser-les-proprietes 
2.7; 2020-04-08 14:07:44 ; https://www.linkedin.com/learning/l-essentiel-de-react-js-2/utiliser-les-etats 

3.1; 2020-04-08 14:07:44 ; https://www.linkedin.com/learning/l-essentiel-de-react-js-2/installer-node-et-create-react-app 
3.2; 2020-04-08 14:07:44 ; https://www.linkedin.com/learning/l-essentiel-de-react-js-2/utiliser-create-react-app 
3.3; 2020-04-08 14:07:44 ; https://www.linkedin.com/learning/l-essentiel-de-react-js-2/creer-le-composant-initial 
3.4; 2020-04-08 14:07:44 ; https://www.linkedin.com/learning/l-essentiel-de-react-js-2/incorporer-bootstrap-et-font-awesome
3.5; 2020-04-08 14:07:44 ; https://www.linkedin.com/learning/l-essentiel-de-react-js-2/importer-et-exporter-des-modules 
3.6; 2020-04-08 14:07:44 ; https://www.linkedin.com/learning/l-essentiel-de-react-js-2/organiser-ses-composants 
3.7; 2020-04-09 14:07:44 ; https://www.linkedin.com/learning/l-essentiel-de-react-js-2/utiliser-les-fragments 
3.8; 2020-04-09 14:07:44 ; https://www.linkedin.com/learning/l-essentiel-de-react-js-2/creer-le-composant-addtask 
3.9; 2020-04-16 21:52:38 ; https://www.linkedin.com/learning/l-essentiel-de-react-js-2/incorporer-react-router ; React Router n'est pas maintenu par Facebook, npm install react-router-dom --save\;, import {BrowserRouter\, Switch\, Router} from 'react-router-dom'\;
3.10; 2020-04-19 20:10:20 ; https://www.linkedin.com/learning/l-essentiel-de-react-js-2/creer-des-liens-de-navigation ; `import { NavLink } from 'react-router-dom'`
3.11; 2020-04-19 20:20:46 ; https://www.linkedin.com/learning/l-essentiel-de-react-js-2/finaliser-l-apparence-de-l-application ; `import './css/toDo.css'`

4.1; 2020-04-20 19:58:42; https://www.linkedin.com/learning/l-essentiel-de-react-js-2/travailler-avec-les-proprietes ; export default initialData
4.2; 2020-04-21 06:39:47; https://www.linkedin.com/learning/l-essentiel-de-react-js-2/afficher-des-donnees-dynamiques ; `key={task.id}`
4.3; 2020-04-22 20:59:35; https://www.linkedin.com/learning/l-essentiel-de-react-js-2/afficher-des-informations-de-maniere-conditionnelle ; `switch(match.params.filter)`
4.4; 2020-04-22 21:16:23 ; https://www.linkedin.com/learning/l-essentiel-de-react-js-2/travailler-avec-le-state ; `this.setState(prevState => {completed : !prevState.completed})`
4.5; 2020-04-22 23:38:38; https://www.linkedin.com/learning/l-essentiel-de-react-js-2/passer-des-fonctions-en-proprietes ; `onToggleCompleted = {onToggleCompleted}`
4.6; 2020-04-24 20:32:10; https://www.linkedin.com/learning/l-essentiel-de-react-js-2/utiliser-les-references ; `e.preventDefault()`
4.7; 2020-04-24 20:41:17 ; https://www.linkedin.com/learning/l-essentiel-de-react-js-2/creer-de-nouvelles-taches ; `npm i uniqueid --save`
4.8; 2020-04-28 19:46:33 ; https://www.linkedin.com/learning/l-essentiel-de-react-js-2/effectuer-des-redirections-avec-react-router; `this.props.history.push('/');`
4.9; 2020-04-28 19:51:25 ; https://www.linkedin.com/learning/l-essentiel-de-react-js-2/finaliser-son-application ; `exact` = {true};
5.1;2020-05-06 21:00:17; https://www.linkedin.com/learning/l-essentiel-de-react-js-2/comprendre-le-cycle-de-vie-des-composants ; life cycle methods
5.1; 2020-05-06 21:11:26; https://www.linkedin.com/learning/l-essentiel-de-react-js-2/experimenter-avec-les-lifecycle-methods; il écrit bonjour dans chaque méthode

//DOING PROJECT
3.2; 2020-05-08 22:06:51 ; https://www.linkedin.com/learning/l-essentiel-de-react-js-2/utiliser-create-react-app ; he installed 16.8.6 for react and react-dom, and 3.0.0 for react-scripts, deletes everything in /src except index.js, and in index.js he deletes everything but the first two lines
3.3; 2020-04-08 14:07:44 ; https://www.linkedin.com/learning/l-essentiel-de-react-js-2/creer-le-composant-initial ; React Developer Tools are different than in video
3.4; 2020-05-09 10:50:37 ; https://www.linkedin.com/learning/l-essentiel-de-react-js-2/incorporer-bootstrap-et-font-awesome; `https://react-icons.github.io/react-icons`, `npm i bootstrap jquery popper.js react-icons`, `import 'bootstrap/dist/css/bootstrap.min.css`, `import { FaListAlt, FaCheckSquare, FaPlusSqure, FaTrash } from 'react-icons/fa';`
3.5; 2020-05-09 16:43:21 ; https://www.linkedin.com/learning/l-essentiel-de-react-js-2/importer-et-exporter-des-modules; made a component and referenced it from index.js
3.6; 2020-05-09 17:09:35 ; https://www.linkedin.com/learning/l-essentiel-de-react-js-2/organiser-ses-composants ; components work
3.7; 2020-05-09 18:32:17 ; https://www.linkedin.com/learning/l-essentiel-de-react-js-2/utiliser-les-fragments ; React.Fragment, or just `<>`
3.8; 2020-05-09 18:52:01 ; https://www.linkedin.com/learning/l-essentiel-de-react-js-2/creer-le-composant-addtask ; copied in AddTask
3.9; 2020-05-09 19:43:28 ; https://www.linkedin.com/learning/l-essentiel-de-react-js-2/incorporer-react-router ; React Router n'est pas maintenu par Facebook, `npm i react-router-dom`, had to `rm -rf node_modules/ package-lock.json && npm install`
3.10; 2020-05-09 22:06:02 ; https://www.linkedin.com/learning/l-essentiel-de-react-js-2/creer-des-liens-de-navigation ; `import { NavLink } from 'react-router-dom'`
3.11; 2020-05-09 23:01:56 ; https://www.linkedin.com/learning/l-essentiel-de-react-js-2/finaliser-l-apparence-de-l-application ; finished static site, for Netlify you need in public folder: `_redirects` file with line: `/* /index.html 200`

###VOCAB **********************************
parachever
complete

pallier à un inconvénient
to overcome a disadvantage

emballer
wrap

vous devez vous méfier
you have to beware

qui prend le relais
who takes over

au sein de chaque module
within each module

quand j'éclate mon application
when I break my application

c'est le boulot de npm
that's the job of npm

avec le raccourci CTRL-C
with the shortcut CTRL-C

ranger la vaisselle
put away the dishes

pour mettre en forme mon application
to format my application

en petit peu le ménage
a little bit of house cleaning

qui va se mettre en place
which will set itself up

on en a une en plus
there is one more of them

pr. on en a une en plus
PLOOS

je mets un petit espace
MAY un

a lieu
takes place",4.977,2019-06,"$info=finish this, next section on state",2020-04-15 16:33:17,systemUnknown
4,french,WordPress : Création d'un site intranet,https://www.linkedin.com/learning/wordpress-creation-d-un-site-intranet/bienvenue-dans-wordpress-creation-d-un-site-intranet,28,"##sec0,1, intro
0.1;skimmed

##sec1,4, intranet
1.1;2020-05-22 23:13:46;https://www.linkedin.com/learning/wordpress-creation-d-un-site-intranet/exploiter-wordpress-pour-concevoir-un-intranet; 

##sec2,6, users

##sec3,5, contents

##sec4,11, forms and events

##sec5,2, themes

###VOCAB
des foires aux questions
Frequently Asked Questions

un budget serré
a tight budget

avec vos salariés
with your employees

onéreuse
expensive

une solution pérenne
a lasting solution",3.87,2020-02,"$info=shows how to set up an Intranet, but not how to set up technically",2020-04-15 16:33:17,systemUnknown
5,french,L'essentiel d'Angular,https://www.linkedin.com/learning/l-essentiel-d-angular/bienvenue-dans-l-essentiel-d-angular,41,// chapter 3: TypeScript,4.11,2019-12,,2020-04-15 16:33:17,systemUnknown
6,french,L'essentiel de TypeScript 2,https://www.linkedin.com/learning/l-essentiel-de-typescript-2/bienvenue-dans-l-essentiel-de-typescript-2,38,"###INFO
// project: typescript2 (react/typescript)
// project: typescript3 (manually installed)
// project: typescriptGulp (manual)
// do the gulp videos here: 3.3, 3.4
// Elise Patrikainen [pah-treek-ay-NUN]

###sec0,1, intro
0.1;skimmed

###sec1,8, initialize
1.1;2020-06-27 13:45:29; https://www.linkedin.com/learning/l-essentiel-de-typescript-2/definir-typescript ; c'est un sur-ensemble du JavaScript
1.2;2020-06-28 08:08:06; https://www.linkedin.com/learning/l-essentiel-de-typescript-2/comprendre-typescript ; `https://www.typescriptlang.org`
1.3;2020-06-28 08:13:23;https://www.linkedin.com/learning/l-essentiel-de-typescript-2/passer-en-revue-l-execution-du-code-javascript ; JavaScript can be executed in two places: browser, node
1.4;2020-06-28 09:19:56;https://www.linkedin.com/learning/l-essentiel-de-typescript-2/executer-du-code-typescript; `npm i -g typescript`
1.5;2020-06-28 09:51:30;https://www.linkedin.com/learning/l-essentiel-de-typescript-2/installer-le-compilateur-avec-node-js-et-npm ; npm is written in JavaScript and therefore needs Node.js to run, elle a la versio 8.12.0 de Node.js, j'ai la Version 14.2.0
1.6;2020-06-28 10:08:50;https://www.linkedin.com/learning/l-essentiel-de-typescript-2/installer-le-compilateur-avec-le-package-typescript; she has npm 6.4.1, I have 6.14.4, she has tsc 1.3.4, I have 3.9.5
1.7;2020-06-28 10:14:30;https://www.linkedin.com/learning/l-essentiel-de-typescript-2/compiler-un-fichier-typescript-en-javascript; compiled ts file, didn't get warning that I get ""Cannot redeclare block-scoped variable""
1.8;2020-06-28 10:23:09;https://www.linkedin.com/learning/l-essentiel-de-typescript-2/visualiser-quelques-usages-de-typescript; frameworks that use TypeScript: Angular since 2016, NestJS, RsJS, Deno Project, Firebase

###sec2,8, types
2.1;2020-06-28 12:01:52;https://www.linkedin.com/learning/l-essentiel-de-typescript-2/differencier-typage-statique-et-typage-dynamique; typeof will report different types of the same variable
2.2;2020-06-28 12:17:22; https://www.linkedin.com/learning/l-essentiel-de-typescript-2/mesurer-les-limites-du-typage-dynamique-en-javascript ; `const largeName = (person: { name: string }):string => person.name.toUpperCase();`
2.3;2020-07-01 23:31:00;https://www.linkedin.com/learning/l-essentiel-de-typescript-2/aborder-les-types-primitifs-en-javascript; les types courants: types primitive (boolean, null, undefined, number, string, symbol (fixes the problem as of 2009 that caused different libraries to overwrite the jQuery object), and then object (array, function, promise, error), `numbers instanceof Array`
2.4;2020-07-02 07:44:42;https://www.linkedin.com/learning/l-essentiel-de-typescript-2/definir-les-types-primitifs-en-javascript; defined custom types
2.5;2020-07-02 07:55:38; https://www.linkedin.com/learning/l-essentiel-de-typescript-2/typer-par-interface ; an interface is metadata
2.6;2020-07-07 20:51:07;https://www.linkedin.com/learning/l-essentiel-de-typescript-2/definir-la-notion-de-classe-en-javascript;JavaScript class
2.7;2020-07-07 21:15:15;https://www.linkedin.com/learning/l-essentiel-de-typescript-2/utiliser-une-classe-comme-type; use classes are in regular JavaScript
2.8;2020-07-07 21:24:24;https://www.linkedin.com/learning/l-essentiel-de-typescript-2/comparer-classe-et-interface; both interfaces and classes are types, a class is a functionality of ES6, and interface is only something that exists in TypeScript

###sec3,8, with gulp
3.1;2020-07-09 21:25:33; https://www.linkedin.com/learning/l-essentiel-de-typescript-2/demarrer-un-projet-typescript; explains how
3.2;2020-07-09 21:34:15; https://www.linkedin.com/learning/l-essentiel-de-typescript-2/configurer-un-projet-typescript-avec-gulp; project: typescriptGulp, explains package.json
3.3;2020-07-09 22:09:27; https://www.linkedin.com/learning/l-essentiel-de-typescript-2/installer-gulp ; only the npm commands
3.4;2020-07-14 21:56:31;https://www.linkedin.com/learning/l-essentiel-de-typescript-2/configurer-gulp; `npm i -D typescript gulp-typescript`
3.5;2020-07-14 22:44:13; https://www.linkedin.com/learning/l-essentiel-de-typescript-2/integrer-des-modules ; split up in to a main file and module
3.6;2020-07-14 23:04:29; https://www.linkedin.com/learning/l-essentiel-de-typescript-2/creer-une-application-client ; makes `bundle.js`, browserify, tsify, vinyl-source-stream
3.7;2020-07-14 23:19:08; https://www.linkedin.com/learning/l-essentiel-de-typescript-2/configurer-l-application ; creates bundle.js
3.8;2020-07-14 23:32:46; https://www.linkedin.com/learning/l-essentiel-de-typescript-2/finaliser-l-application ; ""AssertionError [ERR_ASSERTION]: Task function must be specified"", then got it to work with `gulp.task('default', gulp.series('html', function () {`

###sec4,6, advanced
4.1;2020-07-15 18:33:42;https://www.linkedin.com/learning/l-essentiel-de-typescript-2/decouvrir-le-croisement-de-types; pipe symbol for function parameters
4.2;2020-07-15 19:12:53; https://www.linkedin.com/learning/l-essentiel-de-typescript-2/faire-le-point-sur-le-croisement-de-types; and and or for type inheritance
4.3;2020-07-18 15:36:30; https://www.linkedin.com/learning/l-essentiel-de-typescript-2/comprendre-les-types-generiques; Q: why do we have ""v"" and then ""value""? A: Maybe if they could go back in time they would make it so that the parameter name is optional and the type is required, to align more closely with type theory notation, but for now this is what we're stuck with. https://stackoverflow.com/questions/62979634/what-is-the-sense-of-unused-function-parameters-in-es6-arrow-function-notation 
4.4;2020-07-20 12:23:41;https://www.linkedin.com/learning/l-essentiel-de-typescript-2/decouvrir-les-decorateurs; decorators are still experimental 
4.5;2020-07-20 14:31:31;https://www.linkedin.com/learning/l-essentiel-de-typescript-2/parcourir-les-differents-types-de-decorateurs; five different types of decorators: class, method, property
4.6;2020-07-20 15:08:17;https://www.linkedin.com/learning/l-essentiel-de-typescript-2/aborder-l-exemple-du-decorateur-de-propriete; 

###sec5,4, architecture
5.1;2020-08-28 23:06:13; https://www.linkedin.com/learning/l-essentiel-de-typescript-2/passer-en-revue-les-modules-en-javascript ; you create a bundle in order to flatten out all of the module imports into one code file; got project running here: https://github.com/edwardtanguay/typescript-node
5.2;2020-08-30 06:11:58; https://www.linkedin.com/learning/l-essentiel-de-typescript-2/decouvrir-la-notion-de-namespace ; imports are slightly different in Node
5.3;2020-09-28 21:01:08; https://www.linkedin.com/learning/l-essentiel-de-typescript-2/importer-des-namespaces ; two files; she does `/// <reference path=""exportsNamespace.ts"" />`; `tsc --outFile namespace.js`; I changed my typescript66 file to: `tsc -w --outFile js/bundle.js`, works great, but there doesn't seem to be native support for minifying
5.4;2020-09-28 21:44:19; https://www.linkedin.com/learning/l-essentiel-de-typescript-2/utiliser-les-fichiers-de-declaration; `tsc -d true -t es5 declaration`; this creates `declaration.d.ts`; seems to create the types in that file; shows Firebase; finds firebase-js-sdk; this code communicates with Firebase; she shows that this code has a .d.ts file as well

###sec6,3, TypeScript 3
6.1;2020-09-28 22:28:56; https://www.linkedin.com/learning/l-essentiel-de-typescript-2/aborder-le-type-unknown ; type *unknown*; `let x: unknown`; safer than *any*; `let a: any`; so `a.length` is ok, but not `x.length`; used in guard functions such as isString, for instance
6.2;2020-09-28 23:11:29; https://www.linkedin.com/learning/l-essentiel-de-typescript-2/ameliorer-le-typage-avec-les-tuples ; a tuple allows you to define various types within an array; shows spread operators and rest parameters; higher order functions
6.3;2020-09-28 23:56:51; https://www.linkedin.com/learning/l-essentiel-de-typescript-2/aborder-les-default-props-du-framework-react; an improvement with React

###VOCAB
de vive voix
in person

je peux scinder mon application
I can split my application

dans ce cadre-là
in this context

mais à la racine
but at the root

avant de clore cette vidéo
before closing this video

hormis les décorateurs de classe
except class decorators

la notion de sucre syntaxique
the notion of syntactic sugar

on ne s'en sert pas pour l'instant
we are not using it for the moment

avec un arobase
with an at sign

qui fait à peu près de même chose
which does pretty much the same

imaginons que je veuille construir
imagine that I want to build

m'a averti
warned me

qui sera rempli
which will be filled

Comment est-ce que va faire ça?
How is it going to do that?

c'est sous-entendu
it's implied

que l'on renvoie
that which we send back

à quoi est-ce que ça sert
what is it for

c'est à peu près tout ce qu'il y a à savoir
that's about all there is to know

imaginons que je veuille avoir
imagine that I want to have

non seulement ça mais
not only that but

je peux mettre autant de types que je veux
I can put as many types as I want

Alors du coup,
So suddenly,

par la suite
subsequently

qui va être requêtée
which will be requested

sera scindé entre
will be split between

namely Gulp
à savoir Gulp

mettre en ligne
upload

qui peuvent s'avérer utiles
which can be useful

une mise forme de bundle
a bundle layout

un ajout
an addition

ce que l'on aimerait, ce serait que ce
what we would like would be that it

auquel
to which

les types courants
common types

on arrive vite à des gros problèmes 
we quickly run into major problems

ils peuvent s'avérer assez problématiques
they can be quite problematic

cette erreur n'est pas gérée
this error is not handled

gênant
embarrassing

s'avèrer tout à fait bloquant
prove to be quite blocking

ainsi qu'une valeur
as well as a value

par la suite
thereafter

De ce fait, 
Thereby, 

dans le vif du sujet
in the thick of itself

il servira à pallier les faiblesses
it will serve to overcome weaknesses

va fournir ce support
will provide this support

telles que
such as

en guise de conclusion
as a conclusion

l'invite de commandes
the command prompt

Node va s'installer tout seul, quasiment
Node will be installed all by itself, almost

du coup
therefore

un petit aperçu
a little preview

amorcer cette formation
initiate this training

mieux vaut avoir
better to have

comme vous l'aurez probablement déviné
as you probably guessed

de ce fait
thereby

c'est un sur-ensemble
it's a superset",-4.99999992,2019-12,"$info=Thorough and recent tutorial on TypeScript and in French, uses Gulp",2020-04-15 16:33:17,systemUnknown
7,french,Google Sheets : Les tableaux croisés dynamique,https://www.linkedin.com/learning/google-sheets-les-tableaux-croises-dynamique/bienvenue-dans-google-sheets-les-tableaux-croises-dynamiques,26,"###INFO
// project: gsheetpivot

###sec0, intro, 1
0.1;skimmed

##sec1, *basics, 10 
1.1a; 2020-04-21 23:09:29; https://www.linkedin.com/learning/google-sheets-les-tableaux-croises-dynamique/aborder-la-notion-de-tableau-croise-dynamique; il montre un exemple
1.1b; 2020-09-30 23:09:59; https://www.linkedin.com/learning/google-sheets-les-tableaux-croises-dynamique/aborder-la-notion-de-tableau-croise-dynamique; pivot tables are for analyzing data; 

1.2a; 2020-04-21 23:16:29; https://www.linkedin.com/learning/google-sheets-les-tableaux-croises-dynamique/mettre-en-place-les-bases; Chiffres de vente
1.2b; 2020-10-01 22:05:11; https://www.linkedin.com/learning/google-sheets-les-tableaux-croises-dynamique/mettre-en-place-les-bases; prerequisities for a pivot table

1.3a; 2020-04-21 23:18:55; https://www.linkedin.com/learning/google-sheets-les-tableaux-croises-dynamique/creer-un-tableau-croise-dynamique; created the base but not finished
1.3b; 2020-10-01 22:23:08; https://www.linkedin.com/learning/google-sheets-les-tableaux-croises-dynamique/creer-un-tableau-croise-dynamique; created a pivot table, he says it is filled, but you see only three odd cells with  text

1.4; 2020-10-01 22:36:58; https://www.linkedin.com/learning/google-sheets-les-tableaux-croises-dynamique/ajouter-des-lignes-des-colonnes-et-des-valeurs ; pivot table is created to analzye, not to replicate the table

1.8a; 2020-04-17 00:11:20; https://www.linkedin.com/learning/google-sheets-les-tableaux-croises-dynamique/mettre-en-forme-les-donnees ; 


##sec2, *sort and filter, 5

##sec3, advanced, 8

##sec4, graphics, 3

###VOCAB
en tant que lignes
as lines

le chiffre d'affaires
the turnover

la plage de données
the data range

la plage de données
the data range",4.996,2019-00,$info=google pivot tables in french;$kind=/techbits/,2020-04-15 16:33:17,systemUnknown
8,french,L'essentiel d'Amazon Web Services,https://www.linkedin.com/learning/l-essentiel-d-amazon-web-services/bienvenue-dans-l-essentiel-d-amazon-web-services-2,38,"##sec3, 5, database options
3.1-watchedOnly;2020-05-16 23:56:44;https://www.linkedin.com/learning/l-essentiel-d-amazon-web-services/decouvrir-les-solutions-de-stockage-d-amazon; AWS S3 (store and retrieve any amount of data), EBS (Elastic Block Store), EFS (Elastic File System), AWS Snowmobile (2016)

##sec4, 8, LAMP stack
4.1-watchedOnly; 2020-04-15 14:07:44 ; https://www.linkedin.com/learning/l-essentiel-d-amazon-web-services/lancer-une-instance-ec2 ; EC2 (Elastic Compute Cloud), AMI (Amazon Machine Image), Kali Linux, EBS (Elastic Block Store), VPC (Virtual Private Cloud), AWS (Elastic Compute Cloud)
4.2-watchedOnly; 2020-04-15 15:11:49 ; https://www.linkedin.com/learning/l-essentiel-d-amazon-web-services/se-connecter-a-une-machine-ec2-et-installer-lamp ; putty, puttygen, aws.pem, .ppk file, ssh auth, amazon linux 2, ec2-user, no passwodr needed, sudo yum update, mariadb, sudo amazon-linux-extra install mariadb10.2-php7.2, sudo yum install httpd php mariadb-server phpmysqlnd, systemctl start httpd, systemctl enable httpd, PHP-FPM (FastCGI Process Manager: einen stetig laufenden Vorrat an PHP-Prozessen zur schnelleren Verarbeitung von PHP-Scripten vorhält), systemctl start php-fpm, systemctl enable php-fpm, var/www/html, systemctl start mariadb, mysql_secure_installation - delete all test tables and password for root and delete anonymous users etc.
4.3-watchedOnly; 2020-04-15 15:46:49 ; https://www.linkedin.com/learning/l-essentiel-d-amazon-web-services/configurer-un-site-wordpress ; sudo wget https://wordpress.org/latest.tar.gz , sudo tar -xvzf latest.tar.gz, wpconfig.php, sudo cp w-config(-sample), 

##VOCAB
octets
bytes

des frais
expenses

les fraises
the strawberries

passerelle
bridge",4.4,2018-04,$info=basic infos on AWS;$kind=/cloud/,2020-04-15 16:33:17,systemUnknown
9,french,L'essentiel de JavaScript,https://www.linkedin.com/learning/l-essentiel-de-javascript-2/bienvenue-dans-l-essentiel-de-javascript,86,"- 1.1; skipped
- 1.2; skipped
- 1.3; skipped
- 1.4; skipped
- 1.5; 2020-04-15 22:28:48; https://www.linkedin.com/learning/l-essentiel-de-javascript-2/passer-en-revue-les-differentes-versions-de-javascript ; VSCode extension: Live Saver
- 1.6; skipped",3.6,2019-06,,2020-04-15 16:33:17,systemUnknown
10,french,Docker pour les développeurs,https://www.linkedin.com/learning/docker-pour-les-developpeurs/bienvenue-dans-docker-pour-les-developpeurs,17,"// 3.3 Travis
- 1.4; 2020-04-15 13:44:35; https://www.linkedin.com/learning/docker-pour-les-developpeurs/deployer-sa-premiere-application ; babelrc, dockerignore, Dockerfile

- 2.2; 2020-04-25 16:34:02 ; https://www.linkedin.com/learning/docker-pour-les-developpeurs/mettre-en-pratique-le-back-end-avec-compose ; `docker-compose.yml` which defines two containers
- 2.3; 2020-04-25 16:51:27 ; https://www.linkedin.com/learning/docker-pour-les-developpeurs/finaliser-et-tester-la-configuration-du-back-end; `docker-compose build`, `docker-compose stop`
- 2.4; 2020-04-25 16:59:30 ; https://www.linkedin.com/learning/docker-pour-les-developpeurs/configurer-le-front-end ; une React app, `.dockerignore`: node_modules npm-debug.log, DockerFile: FROM node
- 2.5; 2020-04-25 17:07:01; https://www.linkedin.com/learning/docker-pour-les-developpeurs/finaliser-et-tester-la-configuration-du-front-end ; `docker built -t edwardtanguay/fronted .`, `docker images`, `docker start 62030`",4.5,2020-03,,2020-04-15 16:33:17,systemUnknown
